Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) <18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims
State,Andhra Pradesh,3,3,9,15,30,347,554,931,33,350,563,946
State,Arunachal Pradesh,0,0,0,0,3,9,19,31,3,9,19,31
State,Assam,0,0,19,19,0,5,1071,1076,0,5,1090,1095
State,Bihar,0,1,0,1,1,1,982,984,1,2,982,985
State,Chhattisgarh,1,18,20,39,26,141,692,859,27,159,712,898
State,Goa,0,0,0,0,6,17,9,32,6,17,9,32
State,Gujarat,1,3,3,7,16,60,153,229,17,63,156,236
State,Haryana,0,3,11,14,2,72,265,339,2,75,276,353
State,Himachal Pradesh,0,1,1,2,8,38,78,124,8,39,79,126
State,Jammu & Kashmir,0,0,2,2,1,1,207,209,1,1,209,211
State,Jharkhand,0,8,6,14,0,8,690,698,0,16,696,712
State,Karnataka,1,0,0,1,17,114,189,320,18,114,189,321
State,Kerala,1,3,3,7,19,46,322,387,20,49,325,394
State,Madhya Pradesh,3,33,87,123,60,603,1952,2615,63,636,2039,2738
State,Maharashtra,4,7,8,19,75,526,656,1257,79,533,664,1276
State,Manipur,0,0,0,0,0,7,11,18,0,7,11,18
State,Meghalaya,1,3,1,5,3,17,15,35,4,20,16,40
State,Mizoram,0,2,0,2,1,7,44,52,1,9,44,54
State,Nagaland,0,0,0,0,0,0,14,14,0,0,14,14
State,Orissa,0,0,0,0,5,50,670,725,5,50,670,725
State,Punjab,0,4,5,9,6,44,321,371,6,48,326,380
State,Rajasthan,1,2,29,32,6,40,972,1018,7,42,1001,1050
State,Sikkim,0,0,0,0,4,5,1,10,4,5,1,10
State,Tamil Nadu,3,24,13,40,9,11,497,517,12,35,510,557
State,Tripura,0,0,0,0,0,0,114,114,0,0,114,114
State,Uttar Pradesh,1,7,2,10,32,275,594,901,33,282,596,911
State,Uttaranchal,0,0,2,2,1,10,94,105,1,10,96,107
State,West Bengal,1,2,12,15,4,9,974,987,5,11,986,1002
State,Total (States),21,124,233,378,335,2463,12160,14958,356,2587,12393,15336
Union Territory,A & N Islands,0,0,0,0,1,1,0,2,1,1,0,2
Union Territory,Chandigarh,1,0,0,1,2,6,9,17,3,6,9,18
Union Territory,D & N Haveli,0,0,0,0,0,0,1,1,0,0,1,1
Union Territory,Daman & Diu,0,0,0,0,2,3,0,5,2,3,0,5
Union Territory,Delhi,1,16,4,21,25,110,334,469,26,126,338,490
Union Territory,Lakshadweep,0,0,0,0,0,0,2,2,0,0,2,2
Union Territory,Pondicherry,0,0,0,0,1,0,1,2,1,0,1,2
Union Territory,Total (UTs),2,16,4,22,31,120,347,498,33,136,351,520
Total (All-India),Total (All-India),23,140,237,400,366,2583,12507,15456,389,2723,12744,15856
City,Agra,0,0,0,0,0,3,8,11,0,3,8,11
City,Ahmedabad,0,0,2,2,2,9,5,16,2,9,7,18
City,Allahabad,0,0,0,0,0,0,2,2,0,0,2,2
City,Amritsar,0,1,0,1,0,4,6,10,0,5,6,11
City,Asansol,0,0,1,1,0,0,7,7,0,0,8,8
City,Bangalore,0,0,0,0,2,10,22,34,2,10,22,34
City,Bhopal,2,6,0,8,4,25,21,50,6,31,21,58
City,Chennai,0,0,0,0,1,22,15,38,1,22,15,38
City,Coimbatore,0,0,0,0,0,1,4,5,0,1,4,5
City,Delhi (CITY),1,13,4,18,15,93,280,388,16,106,284,406
City,Dhanbad,1,1,1,3,1,7,10,18,2,8,11,21
City,Faridabad,0,0,0,0,1,5,9,15,1,5,9,15
City,Hyderabad,0,0,9,9,0,18,30,48,0,18,39,57
City,Indore,0,0,0,0,0,8,46,54,0,8,46,54
City,Jabalpur,0,0,0,0,1,17,43,61,1,17,43,61
City,Jaipur,0,0,3,3,3,4,25,32,3,4,28,35
City,Jamshedpur,0,8,4,12,0,21,15,36,0,29,19,48
City,Kanpur,0,0,0,0,0,0,24,24,0,0,24,24
City,Kochi,0,0,0,0,1,2,8,11,1,2,8,11
City,Kolkata,1,2,0,3,4,9,20,33,5,11,20,36
City,Lucknow,0,0,0,0,1,6,13,20,1,6,13,20
City,Ludhiana,0,1,0,1,5,21,6,32,5,22,6,33
City,Madurai,0,0,0,0,0,0,7,7,0,0,7,7
City,Meerut,1,1,2,4,0,2,8,10,1,3,10,14
City,Mumbai,0,0,0,0,9,99,31,139,9,99,31,139
City,Nagpur,0,2,0,2,5,12,8,25,5,14,8,27
City,Nasik,0,0,0,0,3,4,4,11,3,4,4,11
City,Patna,0,0,0,0,0,1,14,15,0,1,14,15
City,Pune,0,0,0,0,10,22,8,40,10,22,8,40
City,Rajkot,0,0,0,0,0,4,1,5,0,4,1,5
City,Surat,0,0,0,0,7,13,4,24,7,13,4,24
City,Vadodara,0,0,0,0,2,4,2,8,2,4,2,8
City,Varanasi,0,0,0,0,0,4,0,4,0,4,0,4
City,Vijayawada,0,0,0,0,2,4,21,27,2,4,21,27
City,Vishakhapatnam,0,0,0,0,2,4,3,9,2,4,3,9
City,Total (Cities),6,35,26,67,81,458,730,1269,87,493,756,1336
