Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) <18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims
1,State,5,1,4,0,1011,199,805,7,1016,200,809,1016
2,State,0,0,0,0,42,11,31,0,42,11,31,42
3,State,15,0,15,0,1156,7,1135,14,1171,7,1150,1171
4,State,6,0,6,0,1384,3,1375,6,1390,3,1381,1390
5,State,78,8,69,1,891,67,816,8,969,75,885,969
6,State,1,0,1,0,36,15,21,0,37,15,22,37
7,State,14,2,12,0,325,37,286,2,339,39,298,339
8,State,20,0,20,0,366,4,362,0,386,4,382,386
9,State,8,2,6,0,145,13,127,5,153,15,133,153
10,State,1,0,1,0,217,2,215,0,218,2,216,218
11,State,18,0,18,0,779,0,779,0,797,0,797,797
12,State,7,3,4,0,284,27,257,0,291,30,261,291
13,State,3,0,3,0,477,55,416,6,480,55,419,480
14,State,63,8,55,0,2812,364,2434,14,2875,372,2489,2875
15,State,31,8,24,0,1357,210,1145,5,1388,218,1169,1392
16,State,0,0,0,0,31,4,27,0,31,4,27,31
17,State,4,3,1,0,50,8,42,0,54,11,43,54
18,State,0,0,0,0,20,0,20,0,20,0,20,20
19,State,0,0,0,0,18,1,17,0,18,1,17,18
20,State,1,1,0,0,769,28,741,0,770,29,741,770
21,State,65,2,63,0,325,17,308,0,390,19,371,390
22,State,39,6,33,0,999,45,947,7,1038,51,980,1038
23,State,0,0,0,0,3,1,3,0,3,1,3,4
24,State,36,0,36,0,582,84,496,3,618,84,532,619
25,State,1,0,1,0,159,14,145,0,160,14,146,160
26,State,35,2,33,0,1362,150,1210,2,1397,152,1243,1397
27,State,13,0,13,0,102,8,94,0,115,8,107,115
28,State,24,0,24,0,1451,5,1445,1,1475,5,1469,1475
State,State,488,46,442,1,17153,1379,15699,80,17641,1425,16141,17647
29,Union Territory,0,0,0,0,10,1,9,0,10,1,9,10
30,Union Territory,1,1,0,0,18,9,9,0,19,10,9,19
31,Union Territory,0,0,0,0,7,0,7,0,7,0,7,7
32,Union Territory,0,0,0,0,1,0,1,0,1,0,1,1
33,Union Territory,16,8,8,0,535,178,357,0,551,186,365,551
34,Union Territory,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,0,0,0,0,4,0,4,0,4,0,4,4
Union Territory,Union Territory,17,9,8,0,575,188,387,0,592,197,395,592
Total (All-India),Total (All-India),505,55,450,1,17728,1567,16086,80,18233,1622,16536,18239
36,City,0,0,0,0,16,0,16,0,16,0,16,16
37,City,5,1,4,0,35,0,35,0,40,1,39,40
38,City,0,0,0,0,2,0,2,0,2,0,2,2
39,City,0,0,0,0,22,7,15,0,22,7,15,22
40,City,0,0,0,0,9,0,9,0,9,0,9,9
41,City,6,3,3,0,26,6,20,0,32,9,23,32
42,City,4,2,2,0,43,10,33,0,47,12,35,47
43,City,4,0,4,0,26,0,26,0,30,0,30,30
44,City,0,0,0,0,4,1,3,0,4,1,3,4
45,City,14,8,6,0,443,130,313,0,457,138,319,457
46,City,1,1,0,0,22,5,17,0,23,6,17,23
47,City,1,1,0,0,15,3,12,0,16,4,12,16
48,City,0,0,0,0,56,17,37,2,56,17,37,56
49,City,0,0,0,0,74,0,74,0,74,0,74,74
50,City,0,0,0,0,49,12,37,0,49,12,37,49
51,City,2,2,0,0,54,11,43,0,56,13,43,56
52,City,2,0,2,0,22,8,14,0,24,8,16,24
53,City,0,0,0,0,20,0,20,0,20,0,20,20
54,City,0,0,0,0,7,1,6,0,7,1,6,7
55,City,0,0,0,0,27,5,22,0,27,5,22,27
56,City,6,0,6,0,23,3,20,0,29,3,26,29
57,City,0,0,0,0,44,15,29,0,44,15,29,44
58,City,0,0,0,0,8,0,8,0,8,0,8,8
59,City,1,0,1,0,12,0,12,0,13,0,13,13
60,City,13,3,10,0,174,27,147,0,187,30,157,187
61,City,3,1,2,0,38,5,34,0,41,6,36,42
62,City,1,1,0,0,14,5,9,0,15,6,9,15
63,City,0,0,0,0,26,1,25,0,26,1,25,26
64,City,0,0,0,0,63,14,49,0,63,14,49,63
65,City,1,0,1,0,8,3,5,0,9,3,6,9
66,City,0,0,0,0,24,11,13,0,24,11,13,24
67,City,0,0,0,0,6,1,5,0,6,1,5,6
68,City,0,0,0,0,3,0,3,0,3,0,3,3
69,City,0,0,0,0,19,3,13,3,19,3,13,19
70,City,0,0,0,0,12,8,4,0,12,8,4,12
Total (Cities),Total (Cities),64,23,41,0,1446,312,1130,5,1510,335,1171,1511
