Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) <18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims
State,Andhra Pradesh,0,0,0,0,30,416,916,1362,30,416,916,1362
State,Arunachal Pradesh,0,0,0,0,2,10,35,47,2,10,35,47
State,Assam,0,0,13,13,1,38,1669,1708,1,38,1682,1721
State,Bihar,1,1,0,2,7,105,681,793,8,106,681,795
State,Chhattisgarh,0,5,16,21,24,353,614,991,24,358,630,1012
State,Goa,0,2,0,2,4,17,13,34,4,19,13,36
State,Gujarat,1,2,1,4,21,79,304,404,22,81,305,408
State,Haryana,0,2,13,15,4,101,600,705,4,103,613,720
State,Himachal Pradesh,0,5,2,7,8,59,86,153,8,64,88,160
State,Jammu & Kashmir,0,0,0,0,0,8,237,245,0,8,237,245
State,Jharkhand,0,0,11,11,0,0,762,762,0,0,773,773
State,Karnataka,0,0,2,2,10,116,458,584,10,116,460,586
State,Kerala,5,7,2,14,24,174,424,622,29,181,426,636
State,Madhya Pradesh,2,11,8,21,51,1119,1945,3115,53,1130,1953,3136
State,Maharashtra,4,21,19,44,104,628,835,1567,108,649,854,1611
State,Manipur,0,0,0,0,1,10,23,34,1,10,23,34
State,Meghalaya,2,5,1,8,31,55,57,143,33,60,58,151
State,Mizoram,2,1,0,3,8,31,50,89,10,32,50,92
State,Nagaland,0,1,0,1,1,2,12,15,1,3,12,16
State,Odisha,2,33,2,37,11,28,949,988,13,61,951,1025
State,Punjab,1,11,5,17,22,111,397,530,23,122,402,547
State,Rajasthan,2,8,14,24,35,341,1173,1549,37,349,1187,1573
State,Sikkim,1,1,0,2,5,8,3,16,6,9,3,18
State,Tamil Nadu,0,0,0,0,21,189,477,687,21,189,477,687
State,Tripura,0,0,0,0,19,88,131,238,19,88,131,238
State,Uttar Pradesh,0,3,1,4,43,405,1111,1559,43,408,1112,1563
State,Uttarakhand,1,4,6,11,1,4,105,110,2,8,111,121
State,West Bengal,0,1,3,4,0,72,2235,2307,0,73,2238,2311
State,Total (States),24,124,119,267,488,4567,16302,21357,512,4691,16421,21624
Union Territories,Andaman & Nicobar Islands,0,0,0,0,2,13,9,24,2,13,9,24
Union Territories,Chandigarh,0,0,0,0,4,12,15,31,4,12,15,31
Union Territories,Dadra Nagar Haveli,0,0,0,0,1,2,0,3,1,2,0,3
Union Territories,Daman & Diu,0,0,0,0,1,0,0,1,1,0,0,1
Union Territories,Delhi,6,14,1,21,45,239,202,486,51,253,203,507
Union Territories,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Union Territories,Puducherry,0,0,0,0,0,3,0,3,0,3,0,3
Union Territories,Total (UTs),6,14,1,21,53,269,226,548,59,283,227,569
Total (All-India),Total (All-India),30,138,120,288,541,4836,16528,21905,571,4974,16648,22193
City,Agra,0,0,1,1,1,6,5,12,1,6,6,13
City,Ahmedabad,0,0,0,0,0,0,49,49,0,0,49,49
City,Allahabad,0,0,0,0,0,3,4,7,0,3,4,7
City,Amritsar,0,0,0,0,1,11,12,24,1,11,12,24
City,Asansol,0,0,0,0,0,0,18,18,0,0,18,18
City,Bengaluru,0,0,0,0,0,0,65,65,0,0,65,65
City,Bhopal,0,0,0,0,4,59,10,73,4,59,10,73
City,Chennai,0,0,0,0,0,22,25,47,0,22,25,47
City,Coimbatore,0,0,0,0,1,4,10,15,1,4,10,15
City,Delhi (city),5,9,0,14,40,195,165,400,45,204,165,414
City,Dhanbad,0,0,0,0,0,0,5,5,0,0,5,5
City,Faridabad,0,0,0,0,0,0,51,51,0,0,51,51
City,Hyderabad,0,0,0,0,2,13,30,45,2,13,30,45
City,Indore,0,0,0,0,0,3,66,69,0,3,66,69
City,Jabalpur,0,0,0,0,0,19,62,81,0,19,62,81
City,Jaipur,0,1,1,2,3,19,47,69,3,20,48,71
City,Jamshedpur,0,0,0,0,0,0,16,16,0,0,16,16
City,Kanpur,0,0,0,0,2,13,27,42,2,13,27,42
City,Kochi,1,0,1,2,1,4,13,18,2,4,14,20
City,Kolkata,0,0,0,0,0,11,21,32,0,11,21,32
City,Lucknow,0,0,0,0,1,8,43,52,1,8,43,52
City,Ludhiana,0,0,0,0,5,20,27,52,5,20,27,52
City,Madurai,0,0,0,0,0,0,3,3,0,0,3,3
City,Meerut,0,0,0,0,1,9,9,19,1,9,9,19
City,Mumbai,0,3,1,4,21,123,53,197,21,126,54,201
City,Nagpur,0,4,1,5,2,24,27,53,2,28,28,58
City,Nasik,0,0,0,0,1,12,18,31,1,12,18,31
City,Patna,0,0,0,0,0,6,19,25,0,6,19,25
City,Pune,0,0,0,0,8,44,39,91,8,44,39,91
City,Rajkot,0,0,0,0,0,2,10,12,0,2,10,12
City,Surat,0,0,0,0,7,8,8,23,7,8,8,23
City,Vadodara,0,1,0,1,1,1,4,6,1,2,4,7
City,Varanasi,0,0,0,0,0,2,0,2,0,2,0,2
City,Vijayawada,0,0,0,0,3,13,9,25,3,13,9,25
City,Vishakhapatnam,0,0,0,0,1,5,47,53,1,5,47,53
City,Total (Cities),6,18,5,29,106,659,1017,1782,112,677,1022,1811
