Category,States/UTs/Cities,No. of Victims (Incest Rape Cases) upto 10 Years,No. of Victims (Incest Rape Cases) <18 Years,No. of Victims (Incest Rape Cases) > 18 Years,No. of Victims (Incest Rape Cases) - Total Victims,No. of Victims (Other Rape Cases) upto 10 Years,No. of Victims (Other Rape Cases) < 18 Years,No. of Victims (Other Rape Cases) > 18 Years,No. of Victims (Other Rape Cases) - Total Victims,No. of Victims (Total Rape Cases) upto 10 Years,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims
city,A&N Islands,0,0,0,0,4,,6,29,4,,6,29
state,Andhra Pradesh,2,4,1,5,117,,833,1631,119,,834,1636
state,Arunachal Pradesh,0,0,0,0,6,,40,75,6,,40,75
state,Assam,0,0,8,8,16,,1699,1929,16,,1707,1937
state,Bihar,0,4,2,6,30,,881,1122,30,,883,1128
UT,Chandigarh,0,0,0,0,7,,25,45,7,,25,45
state,Chhattisgarh,0,4,11,15,86,,590,1365,86,,601,1380
city,D&N Haveli,0,0,0,0,0,,1,5,0,,1,5
UT,Daman & Diu,0,0,0,0,1,,4,8,1,,4,8
UT,Delhi UT,13,38,9,47,152,,846,1600,165,,855,1647
state,Goa,0,3,3,6,5,,24,80,5,,27,86
state,Gujarat,5,13,4,17,30,,464,716,35,,468,733
state,Haryana,2,4,4,8,35,,579,963,37,,583,971
state,Himachal Pradesh,0,7,2,9,9,,110,241,9,,112,250
UT,Jammu & Kashmir,0,0,0,0,1,,357,382,1,,357,382
state,Jharkhand,0,0,0,0,1,,1122,1204,1,,1122,1204
state,Karnataka,2,7,4,11,48,,478,1019,50,,482,1030
state,Kerala,13,72,9,81,54,,557,1138,67,,566,1219
UT,Lakshadweep,0,0,0,0,0,,1,2,0,,1,2
state,Madhya Pradesh,4,14,8,22,105,,2217,4315,109,,2225,4337
state,Maharashtra,34,88,29,117,208,,1491,2967,242,,1520,3084
state,Manipur,0,0,0,0,10,,31,72,10,,31,72
state,Meghalaya,9,22,0,22,36,,71,163,45,,71,185
state,Mizoram,0,4,4,8,19,,35,89,19,,39,97
state,Nagaland,0,0,0,0,3,,16,31,3,,16,31
state,Odisha,2,3,0,3,61,,1323,1829,63,,1323,1832
UT,Puducherry,0,0,0,0,0,,8,17,0,,8,17
state,Punjab,2,7,2,9,36,,396,879,38,,398,888
state,Rajasthan,3,23,33,56,47,,2361,3230,50,,2394,3286
state,Sikkim,0,0,0,0,4,,5,43,4,,5,43
state,Tamil Nadu,0,5,1,6,61,,504,923,61,,505,929
total all-india,Total (All-India),107,393,155,548,1477,,20305,33216,1584,,20460,33764
total states,Total (State),94,355,146,501,1313,,19414,31510,1407,,19560,32011
total UTs,Total (UTs),13,38,9,47,164,,891,1706,177,,900,1753
state,Tripura,0,0,1,1,18,,132,232,18,,133,233
state,Uttar Pradesh,11,53,10,63,243,,1604,2987,254,,1614,3050
state,Uttarakhand,3,9,1,10,0,,195,218,3,,196,228
state,West Bengal,2,9,9,18,24,,1299,1667,26,,1308,1685
